amount,is_new_recipient,country,device_type,device_trust_score,transaction_hour,prior_transaction_count,is_fraud
5764.18,0,UK,web,13.1,23,8,1
567.14,0,UK,mobile,80.9,17,120,0
277.75,0,SA,mobile,62.2,7,114,0
70.11,0,AE,mobile,92.4,10,198,0
645.78,0,SA,atm,88.7,15,199,0
737.66,1,IN,atm,83.0,14,181,0
1687.84,1,SA,atm,75.7,15,121,0
274.63,0,SA,web,61.0,15,85,0
1125.39,0,SA,atm,72.6,15,161,0
3608.19,1,SA,mobile,82.4,21,19,0
459.89,0,SA,atm,75.7,7,91,0
1190.43,0,SA,web,93.3,18,102,0
451.55,0,IN,web,73.9,9,73,0
291.09,1,SA,atm,65.2,17,84,0
1175.46,0,SA,mobile,86.7,17,104,0
380.82,1,SA,mobile,90.1,19,21,0
513.27,0,SA,mobile,99.0,13,126,0
504.29,0,SA,web,73.9,15,133,0
999.34,1,AE,atm,24.7,4,0,1
508.47,0,SA,atm,88.5,21,154,0
5083.61,1,SA,mobile,33.8,0,4,1
3007.07,0,SA,web,93.3,19,133,0
1591.3,0,SA,mobile,93.9,9,88,0
238.89,0,SA,atm,74.7,15,120,0
1250.56,0,US,mobile,61.9,11,43,0
273.16,0,AE,mobile,79.1,13,128,0
502.81,1,PK,atm,95.5,8,53,0
511.38,0,EG,mobile,64.5,7,186,0
1062.15,0,SA,mobile,73.4,11,57,0
775.79,0,AE,web,79.3,7,99,0
333.19,0,SA,web,96.5,15,30,0
280.22,0,NG,web,81.1,15,139,0
92.43,1,SA,atm,97.3,12,185,0
254.27,0,SA,web,97.3,16,65,0
1019.0,0,SA,web,62.0,17,29,0
1463.85,0,SA,mobile,74.9,18,82,0
1993.42,0,SA,web,86.8,18,71,0
246.95,0,SA,mobile,92.8,11,45,0
119.68,0,SA,atm,78.5,10,53,0
348.94,0,SA,web,62.3,18,163,0
2223.61,0,PK,mobile,90.2,16,197,0
1970.2,0,SA,mobile,75.2,16,33,0
298.1,0,SA,atm,61.2,8,165,0
1225.79,0,SA,mobile,98.6,8,186,0
1476.53,0,SA,atm,99.8,19,70,0
907.3,0,UK,web,79.1,20,121,0
706.61,0,SA,atm,94.8,8,83,0
930.51,0,SA,atm,91.2,9,189,0
228.04,0,SA,web,91.6,18,24,0
814.16,0,SA,mobile,85.8,17,119,0
598.28,1,SA,atm,95.3,16,178,0
2237.23,0,IN,web,93.1,9,65,0
158.44,0,AE,web,89.4,20,149,0
161.28,0,AE,mobile,83.4,15,16,0
1822.52,0,SA,mobile,75.4,7,109,0
1292.08,0,SA,mobile,82.0,17,76,0
349.88,0,SA,web,75.0,20,83,0
8173.73,1,SA,web,28.3,23,0,1
750.03,0,SA,web,62.4,16,182,0
682.72,0,SA,atm,85.4,19,64,0
420.74,0,SA,atm,99.0,8,108,0
394.9,0,SA,web,88.7,16,89,0
3670.49,0,SA,atm,64.3,16,130,0
578.22,0,PK,web,72.6,21,180,0
675.02,0,SA,mobile,76.3,19,159,0
1770.24,0,SA,atm,67.0,19,55,0
447.69,0,SA,atm,88.5,12,103,0
566.93,0,EG,web,94.6,10,16,0
1170.98,0,SA,mobile,95.9,14,30,0
1788.97,0,SA,atm,80.3,20,107,0
503.82,0,PK,web,65.9,15,167,0
997.98,0,PK,atm,82.8,7,92,0
1648.92,0,SA,web,91.1,19,11,0
510.04,0,AE,atm,73.0,13,189,0
262.36,0,SA,mobile,98.0,7,58,0
791.96,0,SA,atm,88.0,18,174,0
663.91,0,SA,mobile,81.6,12,10,0
4398.87,0,SA,atm,92.2,17,190,0
160.35,0,SA,atm,78.4,7,59,0
513.91,0,SA,web,85.4,10,111,0
830.48,0,SA,atm,63.2,18,152,0
767.18,0,SA,atm,62.8,17,28,0
260.03,0,SA,mobile,87.6,6,134,0
470.3,0,AE,atm,80.9,7,127,0
517.4,0,SA,web,81.3,9,194,0
209.57,0,SA,mobile,90.1,17,30,0
105.93,0,SA,web,87.0,18,83,0
2170.4,0,PK,web,78.2,18,54,0
415.75,0,SA,web,70.7,11,82,0
140.33,0,SA,atm,96.1,12,106,0
144.25,0,EG,atm,71.5,16,80,0
249.85,1,PK,atm,67.0,7,142,0
1779.18,0,SA,atm,86.1,10,174,0
172.08,1,SA,mobile,67.3,13,193,0
327.3,0,SA,atm,82.6,20,86,0
1032.44,0,SA,mobile,71.9,13,134,0
336.65,0,SA,atm,98.2,17,22,0
940.22,0,AE,atm,66.2,14,174,0
1786.97,0,SA,mobile,80.8,14,116,0
559.07,0,SA,atm,82.5,13,152,0
1222.89,0,SA,atm,84.3,13,61,0
692.88,0,SA,web,65.8,9,110,0
559.71,0,SA,atm,67.5,20,57,0
1506.25,0,AE,web,85.3,17,37,0
951.68,0,SA,atm,76.0,20,81,0
1554.02,0,SA,web,78.2,19,29,0
3055.13,1,SA,atm,41.5,0,2,1
1148.44,0,PK,mobile,95.6,19,111,0
165.92,0,SA,atm,95.7,18,23,0
408.74,0,SA,atm,63.0,21,181,0
1832.76,1,IN,atm,99.0,12,14,0
381.01,0,SA,atm,87.8,8,152,0
627.16,0,SA,atm,83.7,19,137,0
236.62,0,IN,atm,61.2,9,165,0
395.52,0,SA,atm,64.9,8,123,0
221.53,0,SA,web,96.0,15,158,0
547.82,0,AE,web,81.9,12,161,0
711.38,0,US,mobile,84.8,7,108,0
1743.81,0,SA,web,84.0,15,87,0
109.57,0,UK,atm,75.0,9,130,0
2754.23,0,PK,web,62.2,21,51,0
617.36,0,SA,web,66.2,15,181,0
494.56,0,SA,atm,61.2,10,71,0
978.0,0,SA,mobile,63.0,21,178,0
245.24,0,SA,mobile,79.3,19,107,0
1389.49,0,SA,web,66.0,8,44,0
801.57,0,SA,web,95.0,15,56,0
1247.95,0,SA,web,94.1,15,163,0
1874.68,0,NG,web,63.1,13,50,0
1011.83,0,US,atm,91.3,19,68,0
282.99,0,SA,web,70.5,13,66,0
274.77,0,EG,web,82.7,6,199,0
209.99,0,SA,web,89.2,17,81,0
576.78,0,SA,atm,71.5,17,127,0
140.35,0,SA,atm,94.1,19,123,0
336.6,0,NG,mobile,70.2,14,49,0
454.55,0,SA,atm,76.3,18,87,0
587.48,0,SA,mobile,84.5,20,129,0
2290.03,0,AE,web,95.6,15,103,0
587.71,0,SA,web,78.8,7,32,0
199.53,0,SA,mobile,66.5,19,39,0
549.74,0,SA,web,98.9,16,90,0
868.63,0,SA,mobile,99.8,18,94,0
1509.1,0,SA,mobile,82.9,18,146,0
2184.96,0,SA,web,82.6,17,175,0
439.97,0,SA,mobile,90.3,13,154,0
536.3,0,SA,web,96.9,17,159,0
930.59,0,EG,atm,98.5,9,25,0
3225.67,0,SA,web,93.9,9,27,0
521.93,0,AE,web,90.5,7,165,0
3670.33,0,AE,atm,87.7,10,149,0
292.82,0,SA,atm,89.9,6,25,0
1123.75,0,PK,mobile,78.5,17,116,0
1754.37,0,SA,atm,73.5,15,190,0
170.21,0,SA,atm,81.0,13,24,0
3539.33,0,SA,atm,82.8,13,128,0
516.86,1,SA,atm,98.5,17,181,0
496.74,0,US,web,83.6,10,179,0
462.15,0,NG,web,94.2,14,17,0
975.45,1,SA,atm,68.5,21,59,0
302.93,0,SA,atm,60.4,10,172,0
191.36,0,US,web,88.3,12,18,0
1173.02,0,IN,web,89.2,20,80,0
581.69,0,IN,mobile,75.9,9,115,0
4528.24,0,SA,web,98.1,15,28,0
2124.82,0,NG,web,96.8,13,39,0
3405.4,0,SA,mobile,86.5,17,46,0
2796.34,1,PK,web,60.2,16,161,0
1462.25,0,EG,mobile,93.9,6,97,0
2292.85,0,SA,web,64.6,10,136,0
705.1,0,US,mobile,79.9,8,88,0
2565.31,1,SA,mobile,88.9,17,34,0
3279.16,0,SA,web,87.6,6,62,0
567.92,0,EG,web,89.5,21,151,0
579.68,0,SA,web,94.2,16,128,0
906.47,0,SA,web,68.4,21,188,0
2754.86,0,PK,web,95.8,8,9,0
756.97,0,AE,web,65.3,18,180,0
1054.79,0,SA,web,97.3,16,123,0
197.99,0,SA,atm,67.3,11,99,0
68.36,1,SA,atm,75.9,18,195,0
2508.84,1,AE,web,65.0,21,88,0
237.9,0,SA,atm,85.7,6,135,0
876.22,0,SA,web,98.3,6,163,0
411.95,0,SA,web,72.5,17,112,0
433.33,0,AE,web,76.4,7,45,0
2995.99,0,PK,atm,86.6,10,183,0
353.94,0,SA,atm,98.4,12,132,0
2553.63,0,SA,mobile,81.7,15,177,0
592.01,0,SA,atm,69.1,13,6,0
1285.94,0,SA,web,82.5,10,176,0
257.07,0,SA,mobile,72.7,16,176,0
409.22,0,SA,mobile,78.5,15,45,0
668.51,1,SA,mobile,99.0,15,141,0
535.64,0,AE,mobile,91.7,6,43,0
1684.03,0,SA,web,62.9,6,175,0
248.16,0,IN,atm,62.2,8,34,0
543.86,1,PK,web,72.0,6,42,0
565.92,0,SA,atm,73.6,18,35,0
670.47,0,SA,mobile,89.3,19,137,0
161.31,0,SA,atm,72.1,20,101,0
155.39,0,SA,web,73.1,10,103,0
269.08,0,SA,web,80.8,11,183,0
416.73,0,SA,mobile,64.7,14,14,0
4833.24,0,SA,web,62.0,7,89,0
422.14,1,PK,atm,90.1,6,136,0
285.71,0,PK,atm,75.7,14,35,0
1775.33,0,PK,atm,97.9,12,122,0
267.25,0,NG,mobile,88.7,15,83,0
365.53,1,SA,web,67.7,9,53,0
1614.01,0,SA,mobile,70.2,14,111,0
927.64,0,SA,mobile,73.6,21,133,0
651.66,0,SA,mobile,95.6,19,105,0
676.5,0,SA,atm,92.1,8,77,0
681.94,0,AE,web,86.9,17,83,0
436.13,0,SA,mobile,60.5,10,35,0
1165.09,0,EG,web,77.4,12,75,0
507.32,0,SA,mobile,89.9,8,55,0
904.62,0,EG,web,87.4,7,75,0
125.43,0,SA,web,94.2,15,74,0
242.76,0,SA,mobile,78.0,14,68,0
918.89,0,SA,mobile,91.9,7,24,0
33.68,0,EG,atm,71.2,11,122,0
997.63,0,EG,web,87.7,6,6,0
123.21,0,SA,mobile,83.1,17,96,0
1039.7,0,SA,atm,96.7,14,169,0
157.14,0,SA,mobile,90.7,18,88,0
1222.53,0,PK,atm,65.3,20,94,0
9026.69,1,PK,web,5.8,22,9,1
360.91,1,AE,atm,88.0,12,196,0
923.94,0,PK,web,64.2,14,185,0
806.54,0,IN,web,64.3,13,5,0
1151.34,1,PK,mobile,77.7,12,106,0
293.0,0,SA,web,60.9,11,101,0
1012.24,0,SA,web,67.3,14,194,0
1433.62,0,SA,mobile,86.5,7,82,0
332.29,0,SA,web,97.0,21,97,0
4845.59,0,US,atm,81.8,12,45,0
1543.9,0,AE,web,91.2,18,82,0
1825.96,0,SA,mobile,95.7,18,60,0
1246.33,0,EG,web,61.1,9,147,0
339.62,0,SA,web,68.2,17,142,0
318.79,0,SA,atm,76.0,17,102,0
522.07,0,AE,mobile,77.1,13,150,0
213.61,0,SA,atm,89.7,20,126,0
329.08,0,SA,mobile,62.7,10,80,0
208.48,0,SA,mobile,87.2,9,52,0
1653.23,0,NG,atm,70.1,20,162,0
303.5,0,SA,mobile,85.2,21,114,0
3595.98,1,SA,mobile,74.0,21,174,0
181.26,0,SA,mobile,82.7,20,42,0
340.4,0,SA,web,89.9,15,108,0
190.93,0,US,web,78.6,14,69,0
182.96,0,SA,atm,96.7,11,76,0
698.49,1,IN,atm,65.2,10,63,0
348.73,0,NG,web,80.7,15,179,0
187.32,0,SA,atm,90.7,13,57,0
1024.2,1,SA,atm,77.3,21,73,0
3885.72,0,AE,atm,87.0,10,51,0
1394.68,0,SA,atm,74.3,10,8,0
330.46,0,SA,atm,95.5,18,90,0
755.17,0,SA,mobile,73.5,20,194,0
475.56,0,IN,web,98.5,19,82,0
1451.58,0,SA,mobile,88.4,19,8,0
140.55,0,SA,atm,94.7,15,81,0
350.15,0,SA,atm,86.6,21,161,0
150.8,0,UK,atm,66.9,15,186,0
878.48,1,SA,atm,86.0,19,28,0
562.84,0,SA,mobile,84.6,18,191,0
175.92,0,US,atm,97.2,16,69,0
374.53,0,SA,mobile,88.3,9,122,0
2366.31,0,AE,web,91.1,10,116,0
503.72,0,SA,atm,63.1,11,51,0
571.52,0,SA,mobile,99.9,6,103,0
1061.46,0,SA,atm,86.3,11,70,0
277.07,0,AE,atm,66.9,12,160,0
2138.11,0,SA,web,86.2,12,26,0
652.05,0,SA,mobile,90.0,13,127,0
310.53,0,SA,mobile,83.9,12,12,0
2708.97,0,SA,web,64.0,16,25,0
527.02,0,SA,mobile,81.9,9,179,0
1453.6,0,AE,mobile,98.1,14,164,0
454.03,0,SA,web,63.6,9,166,0
505.0,0,SA,mobile,60.9,7,45,0
1484.59,0,NG,mobile,63.8,16,45,0
1018.42,1,AE,mobile,77.2,18,107,0
462.51,0,SA,atm,73.5,19,34,0
2015.83,1,SA,atm,64.6,17,60,0
1081.88,0,SA,atm,99.0,16,192,0
465.34,0,SA,atm,98.2,8,198,0
1616.81,0,UK,web,96.6,18,128,0
1745.45,0,SA,mobile,75.3,21,167,0
550.9,0,SA,mobile,89.3,15,193,0
620.91,1,SA,web,91.4,20,171,0
2540.06,0,SA,web,95.5,20,81,0
1159.24,0,AE,web,61.5,17,90,0
527.26,0,PK,web,97.4,15,83,0
847.31,0,SA,web,85.0,10,46,0
686.99,0,SA,web,71.6,10,113,0
2320.91,0,SA,atm,82.6,13,21,0
1362.5,0,SA,mobile,86.1,16,13,0
294.58,0,AE,mobile,84.2,7,147,0
940.77,0,IN,web,65.7,13,195,0
286.67,0,UK,web,79.6,18,79,0
664.66,0,SA,web,81.3,10,167,0
590.3,0,IN,web,81.9,8,151,0
774.04,0,US,web,61.3,11,180,0
3484.05,1,IN,atm,67.2,21,108,0
1664.08,0,SA,mobile,97.1,8,170,0
259.35,0,SA,web,69.6,10,185,0
2857.24,0,AE,mobile,93.1,12,176,0
386.02,0,SA,web,72.9,18,195,0
1054.0,1,SA,mobile,29.4,1,7,1
1893.96,1,SA,atm,85.1,19,192,0
1637.78,0,AE,web,98.4,11,182,0
66.77,0,SA,mobile,83.7,15,186,0
996.58,1,SA,web,96.5,9,91,0
154.75,1,US,atm,70.4,18,163,0
2280.84,0,UK,atm,81.0,16,169,0
1482.19,0,SA,atm,70.0,17,179,0
962.65,0,AE,atm,84.7,15,11,0
311.64,0,PK,atm,62.2,14,98,0
780.3,0,SA,web,81.4,21,161,0
668.78,1,SA,mobile,67.8,18,170,0
1327.93,0,SA,web,64.5,12,93,0
1278.71,0,US,web,71.9,18,109,0
510.68,0,SA,web,89.9,13,77,0
405.5,1,AE,atm,87.2,21,22,0
824.06,1,SA,atm,66.9,17,103,0
765.51,0,PK,atm,84.6,8,167,0
551.11,0,SA,web,72.1,11,132,0
230.0,1,SA,web,98.5,17,196,0
714.41,1,SA,web,84.7,7,146,0
1215.01,0,PK,mobile,91.9,9,110,0
645.69,1,SA,web,87.2,11,140,0
889.37,1,SA,web,64.5,6,93,0
701.31,0,SA,mobile,66.4,15,172,0
11652.52,0,NG,web,72.4,15,71,0
957.92,0,AE,mobile,64.9,14,164,0
655.03,1,SA,web,77.0,7,177,0
427.02,0,SA,atm,65.1,12,197,0
1053.03,1,SA,web,83.2,14,64,0
5216.01,0,SA,atm,82.6,6,184,0
283.7,0,PK,web,81.8,11,132,0
491.84,0,UK,atm,78.9,7,144,0
1071.96,0,PK,atm,79.8,6,30,0
1372.75,0,IN,mobile,78.8,20,14,0
828.14,1,SA,mobile,66.3,9,155,0
341.16,1,SA,mobile,64.6,15,16,0
227.63,0,SA,web,92.1,19,142,0
7400.28,1,NG,mobile,6.3,3,5,1
138.63,0,PK,web,79.8,12,84,0
465.96,0,SA,mobile,99.7,18,73,0
3024.8,0,UK,web,81.4,13,124,0
171.67,1,SA,atm,74.5,17,60,0
628.85,1,SA,web,91.4,20,174,0
466.76,0,SA,mobile,98.3,19,63,0
335.85,1,AE,atm,85.3,8,100,0
1736.27,0,SA,web,86.0,13,128,0
2684.6,0,IN,atm,73.4,15,93,0
289.49,0,PK,web,89.2,6,91,0
5900.97,0,AE,web,82.3,7,105,0
1067.79,0,SA,web,80.3,18,177,0
354.79,0,AE,mobile,88.6,10,137,0
339.72,0,IN,web,67.4,21,199,0
922.91,0,AE,atm,71.0,20,8,0
1027.13,0,SA,atm,77.9,8,75,0
2021.64,0,SA,mobile,92.8,19,40,0
1114.09,0,SA,atm,63.1,8,105,0
410.02,0,SA,web,85.5,21,136,0
792.76,0,SA,mobile,79.8,15,163,0
1555.88,1,SA,mobile,82.1,6,43,0
752.98,0,SA,web,63.4,7,99,0
2438.07,0,SA,mobile,86.6,19,198,0
4852.25,1,SA,web,70.8,11,47,0
2453.42,0,IN,mobile,85.1,14,190,0
20205.95,0,NG,atm,48.5,23,9,1
707.64,0,SA,atm,67.4,13,155,0
257.33,0,SA,web,78.6,15,153,0
422.7,0,SA,mobile,96.3,6,156,0
466.77,0,SA,web,74.6,14,74,0
455.2,0,AE,mobile,73.1,14,76,0
1565.49,0,SA,atm,93.3,7,113,0
989.2,0,SA,mobile,77.3,14,194,0
229.26,0,SA,web,89.1,13,86,0
1087.32,1,SA,web,63.9,13,187,0
740.65,0,PK,mobile,72.1,7,86,0
275.54,1,SA,mobile,92.7,16,25,0
1543.6,0,US,web,85.1,16,183,0
712.82,0,SA,atm,82.7,19,94,0
810.52,0,SA,mobile,62.8,19,75,0
517.72,0,UK,atm,70.1,18,187,0
533.0,0,SA,atm,69.7,9,111,0
769.79,1,US,mobile,61.9,12,132,0
193.64,1,AE,mobile,83.8,10,59,0
1060.37,0,IN,atm,60.9,6,117,0
3089.52,0,SA,mobile,92.4,11,162,0
401.97,0,SA,mobile,74.7,10,80,0
210.74,1,PK,web,86.4,15,59,0
879.69,0,SA,web,95.2,8,78,0
673.36,0,SA,atm,77.4,17,101,0
314.33,0,SA,web,85.2,14,158,0
825.03,0,PK,web,79.9,17,160,0
512.84,0,EG,mobile,82.4,19,156,0
3034.91,0,SA,mobile,64.0,17,159,0
599.76,0,SA,atm,83.0,8,96,0
546.06,0,NG,mobile,88.2,10,115,0
666.18,0,SA,atm,81.8,12,100,0
78.08,0,SA,atm,79.9,20,124,0
591.27,0,PK,web,79.7,16,199,0
1162.82,0,UK,mobile,84.8,21,101,0
1500.48,0,PK,mobile,78.4,21,67,0
1568.41,0,SA,atm,81.7,12,85,0
1387.24,1,SA,web,91.5,10,168,0
497.98,0,SA,web,87.1,19,75,0
817.35,0,SA,web,64.3,20,104,0
1139.9,0,SA,atm,70.6,21,161,0
1549.77,0,SA,mobile,88.6,16,168,0
3956.08,0,PK,web,46.2,2,0,1
267.56,0,SA,atm,63.3,8,68,0
11148.87,0,SA,mobile,83.4,17,39,0
162.72,0,SA,web,95.7,14,27,0
480.4,0,SA,mobile,64.9,7,55,0
587.17,0,UK,atm,78.5,20,105,0
2639.9,0,SA,atm,80.3,12,160,0
428.3,0,AE,atm,81.2,6,102,0
1437.38,0,EG,web,87.7,15,41,0
494.65,0,SA,web,88.2,11,120,0
261.57,0,AE,web,95.4,17,138,0
332.9,0,SA,web,85.3,10,102,0
1023.4,0,SA,mobile,66.2,16,49,0
310.46,0,SA,web,66.5,11,108,0
809.8,1,SA,mobile,74.8,13,135,0
799.93,1,SA,web,67.8,21,110,0
799.85,0,SA,atm,75.6,16,10,0
1801.13,0,AE,mobile,93.5,7,64,0
1611.06,0,PK,web,96.8,20,89,0
783.01,0,AE,mobile,86.9,20,20,0
1057.18,1,IN,web,87.7,8,166,0
288.98,1,SA,atm,98.7,17,116,0
202.85,0,PK,atm,93.3,20,52,0
350.95,1,SA,atm,63.8,18,169,0
620.3,0,SA,mobile,90.7,10,44,0
3829.02,0,US,web,60.9,18,140,0
320.84,0,UK,web,87.3,7,149,0
445.17,0,SA,web,69.9,16,89,0
248.15,1,SA,atm,79.4,15,117,0
561.04,0,SA,mobile,79.9,9,113,0
1233.18,0,SA,atm,95.9,20,185,0
5343.78,0,SA,web,72.4,8,118,0
249.98,0,SA,web,75.3,6,159,0
358.88,0,AE,web,89.9,18,25,0
393.33,0,SA,web,81.0,15,10,0
1366.4,0,AE,atm,65.6,10,41,0
517.5,0,SA,atm,63.6,6,127,0
417.49,0,SA,atm,76.4,17,128,0
131.86,0,UK,web,62.6,9,169,0
1085.39,0,SA,web,69.3,6,109,0
336.18,0,SA,atm,95.6,8,57,0
567.16,0,IN,mobile,91.3,16,164,0
237.35,1,SA,web,69.9,10,149,0
563.7,1,IN,atm,80.0,11,10,0
257.6,0,AE,mobile,67.7,14,181,0
401.33,0,SA,atm,64.2,14,166,0
550.5,0,SA,atm,80.5,13,11,0
638.14,0,SA,mobile,80.9,21,49,0
1936.52,0,SA,web,87.0,19,174,0
332.76,0,SA,web,82.8,7,10,0
901.08,0,SA,mobile,80.4,11,30,0
760.62,0,SA,web,64.0,9,11,0
336.33,0,AE,web,66.0,18,102,0
4065.7,0,SA,web,64.8,12,129,0
1570.88,0,SA,mobile,89.9,14,21,0
71.96,0,IN,web,79.7,8,57,0
212.02,0,SA,mobile,99.2,12,179,0
258.73,0,SA,atm,75.3,17,96,0
1281.6,0,SA,mobile,97.8,16,51,0
236.92,0,SA,web,66.1,7,157,0
684.43,1,SA,atm,71.7,18,87,0
2889.48,1,SA,web,72.0,21,26,0
52.91,1,SA,atm,66.2,7,155,0
424.48,0,SA,atm,68.0,21,18,0
566.95,1,SA,atm,96.1,6,83,0
548.27,0,SA,atm,70.7,8,90,0
156.24,0,SA,web,68.7,13,42,0
811.15,0,EG,web,82.8,21,76,0
55.32,0,SA,mobile,96.3,21,60,0
416.02,0,SA,atm,88.5,8,157,0
553.09,0,NG,mobile,82.0,6,163,0
733.25,0,AE,web,64.6,18,143,0
344.99,0,EG,mobile,91.7,13,180,0
1471.96,0,UK,atm,65.8,18,126,0
427.19,0,SA,mobile,97.5,8,161,0
3465.88,0,SA,mobile,86.5,17,131,0
3256.43,0,SA,mobile,83.5,20,16,0
2575.48,0,IN,web,85.6,21,185,0
4588.05,1,UK,web,30.7,1,5,1
238.67,0,US,mobile,89.0,12,85,0
803.8,0,AE,mobile,79.6,20,195,0
839.11,0,SA,atm,78.9,18,159,0
2091.98,0,SA,atm,87.3,17,44,0
7480.54,0,SA,mobile,85.8,19,37,0
251.9,1,SA,atm,87.1,20,100,0
1501.55,0,SA,mobile,95.9,18,92,0
5748.87,1,SA,mobile,78.2,20,95,0
492.19,0,IN,web,94.6,10,29,0
1290.71,0,PK,mobile,72.5,17,19,0
857.95,0,SA,web,75.5,15,32,0
696.35,0,SA,mobile,99.2,7,129,0
879.35,0,SA,atm,78.7,8,187,0
325.06,0,SA,web,76.1,12,58,0
493.56,0,SA,mobile,76.7,8,188,0
1269.82,0,AE,web,70.1,8,59,0
370.67,0,SA,mobile,66.0,9,10,0
1137.05,0,SA,web,72.1,17,189,0
1140.46,0,SA,mobile,87.8,20,5,0
466.4,0,PK,mobile,91.0,11,21,0
1683.7,0,SA,mobile,94.8,21,124,0
102.19,0,SA,web,65.9,21,15,0
8356.13,1,PK,web,33.0,5,7,1
215.11,0,SA,web,88.8,20,75,0
417.46,0,SA,atm,70.4,19,161,0
140.32,0,SA,atm,60.8,6,9,0
185.08,0,US,mobile,94.3,14,95,0
910.39,1,SA,atm,95.4,14,53,0
18053.81,0,UK,atm,54.9,5,1,1
992.08,0,SA,atm,76.3,15,10,0
2707.12,1,US,web,98.6,7,83,0
306.79,0,SA,mobile,68.5,11,117,0
211.83,1,PK,web,92.3,17,43,0
407.23,0,IN,web,73.7,13,119,0
173.41,0,EG,mobile,69.2,13,37,0
320.2,0,SA,web,80.0,19,76,0
1521.65,1,NG,atm,16.3,2,8,1
273.42,0,UK,atm,61.7,7,39,0
141.28,0,SA,atm,90.6,11,107,0
2314.62,0,EG,mobile,83.3,8,125,0
415.67,0,SA,mobile,83.1,13,176,0
801.73,0,PK,web,71.5,19,40,0
1635.42,0,SA,web,93.8,20,122,0
170.34,0,SA,mobile,86.9,8,151,0
2178.2,0,SA,web,60.7,13,130,0
728.94,1,SA,mobile,95.8,14,10,0
4848.95,0,SA,web,68.4,17,59,0
870.64,0,SA,mobile,99.9,19,178,0
347.42,0,UK,atm,93.6,13,92,0
205.83,0,PK,atm,66.3,16,100,0
444.59,0,SA,web,90.7,9,91,0
1445.68,1,SA,atm,30.8,22,5,1
918.61,0,SA,mobile,96.1,7,88,0
761.17,0,EG,mobile,97.1,16,69,0
632.15,0,SA,web,68.4,14,63,0
258.63,0,UK,atm,86.2,14,147,0
232.11,0,AE,mobile,67.3,12,189,0
853.2,0,PK,atm,88.8,16,59,0
374.45,0,EG,mobile,95.8,15,125,0
2574.67,1,SA,mobile,70.2,11,126,0
2321.55,0,SA,atm,88.8,20,139,0
173.45,0,PK,mobile,84.0,9,59,0
1139.73,0,SA,atm,76.8,8,13,0
3661.72,0,SA,atm,70.9,19,45,0
261.75,0,SA,web,80.9,14,190,0
1711.77,0,SA,web,79.0,6,171,0
718.73,0,SA,atm,71.6,9,69,0
2903.68,0,SA,atm,62.6,11,45,0
451.6,0,SA,atm,65.4,8,28,0
257.56,0,US,mobile,65.7,18,122,0
4171.74,1,SA,mobile,38.9,4,7,1
676.03,0,SA,mobile,70.1,17,26,0
4070.08,0,SA,mobile,69.1,15,17,0
383.7,1,SA,mobile,84.9,14,113,0
780.83,0,SA,mobile,88.8,17,78,0
285.8,0,SA,atm,73.3,19,138,0
368.97,1,SA,web,99.3,14,194,0
578.11,1,SA,web,97.1,19,82,0
309.38,0,SA,atm,91.2,7,75,0
318.91,0,SA,web,81.2,8,23,0
244.09,0,SA,web,67.0,10,158,0
1515.28,0,US,web,86.3,17,86,0
847.48,0,SA,atm,74.1,7,22,0
339.19,0,AE,mobile,63.0,12,135,0
268.68,0,UK,atm,79.0,9,142,0
276.12,0,SA,atm,74.7,9,48,0
2266.24,1,SA,atm,3.1,2,6,1
659.26,0,SA,mobile,62.2,14,83,0
90.24,0,IN,atm,98.6,9,108,0
250.93,0,SA,atm,78.8,13,66,0
1205.25,0,SA,web,90.9,17,178,0
880.54,0,SA,atm,79.0,14,74,0
2111.46,0,SA,web,81.3,11,173,0
544.4,0,SA,atm,85.3,13,149,0
3659.17,0,SA,mobile,66.3,13,5,0
1198.94,1,UK,mobile,35.9,2,0,1
655.89,0,SA,mobile,99.4,20,155,0
1188.21,0,SA,mobile,85.7,6,117,0
196.34,0,AE,mobile,89.8,20,167,0
128.99,0,EG,mobile,65.9,20,104,0
954.44,0,SA,atm,96.6,13,183,0
697.17,0,SA,web,78.0,18,80,0
729.46,0,NG,atm,79.9,12,125,0
1282.53,1,SA,atm,97.6,8,127,0
382.87,0,SA,web,94.4,12,26,0
7309.02,0,SA,web,69.0,7,69,0
573.65,0,SA,web,92.7,17,183,0
627.47,1,IN,web,91.0,14,30,0
898.92,1,SA,web,99.4,19,106,0
275.7,0,SA,atm,86.7,11,75,0
644.8,0,SA,web,86.7,10,74,0
726.26,0,SA,mobile,79.5,15,126,0
1252.66,0,SA,atm,69.5,13,80,0
893.37,0,SA,web,94.5,8,114,0
500.59,0,SA,mobile,94.4,13,145,0
2963.24,0,AE,web,88.2,12,192,0
683.58,0,SA,atm,62.3,8,95,0
264.72,0,SA,atm,78.5,12,112,0
450.59,0,SA,web,90.0,19,63,0
699.73,0,SA,mobile,84.2,16,107,0
196.37,0,SA,mobile,78.7,17,36,0
90.99,0,AE,mobile,91.8,12,130,0
977.22,0,EG,web,75.5,10,142,0
1736.08,1,UK,web,40.3,0,7,1
1126.3,0,SA,atm,66.9,11,141,0
298.79,1,EG,atm,63.3,16,92,0
129.3,0,EG,mobile,64.5,10,31,0
451.21,0,PK,mobile,92.8,18,164,0
1735.12,0,NG,atm,28.5,4,4,1
47.34,0,PK,atm,82.9,19,35,0
